,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Pfand,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Frischegarantie (mindestens),Gekühlt (+2 bis +7°C) mind. haltbar bis,Eigenschaften,Ursprungsland,Informationen zum Angebot,Lagerung,Kann Spuren enthalten von ,Abtropfgewicht,davon Stärke,Beschreibung,Hinweis zur Frischegarantie,Einfach ungesättigte Fettsäuren,EInlage Currywurstscheiben,Bruttogewicht,Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,Hinweis,davon Polyole,mehrfach ungesättigte Fettsäuren
328,Lawa 5 feine Pfannkuchen,"1,49€","Feine Pfannkuchen, süß oder herzhaft. , LAWA Hefeknodel hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45525-lawa-lawa-5-feine-pfannkuchen/,https://bilder.kolonial.no/local_products/6fcd581f-01ec-4c66-aeae-adfcd21e14f4.jpg?auto=format&fit=max&w=1000&s=3855f9914e7fa3fddd6c7b97e94f35f3,1.10 g,6 g,,4.40 g,4.40 g,5.80 g,5.80 g,808 kJ / 193 kcal,"LAWA Hefeknodel, Faktor-Rothe-Straße 6, 09526 Olbernhau, Deutschland",Deutschland,,"Wasser, WEIZENMEHL, VOLLEI*, Rapsöl, Zucker, VOLLMILCHPULVER, Speisesalz, modifizierte Stärke, Backtriebmittel (Dinatriumdiphosphat, Natriumhydrogencarbonat).
*Eier aus Bodenhaltung ",300 Gramm,täglich,Schnelle Küche,Fertigteige & Aufbackwaren,oda,,,,,,,,,,,,,,,,,,
329,Schär Millefoglie Blätterteig Glutenfrei,"3,69€","Blätterteig - Schär - 250g , Dr. Schär AG / SPA hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47988-schar-schar-millefoglie-blatterteig-glutenfrei/,https://bilder.kolonial.no/local_products/f05052ab-d90e-4576-b41b-aa86733fd7be.jpg?auto=format&fit=max&w=1000&s=d24687a02e975a1420b02bfa5fd60297,0.95 g,2.30 g,4.80 g,2.10 g,30 g,13 g,28 g,1624 kJ / 391 kcal,"Dr. Schär AG / SPA, Winkelau 9, 39014 Burgstall/Postal, Italien",Italien,,"pflanzliche Margarine (Palmfett,
Wasser, Sonnenblumenöl, Emulgator: Zitronensäureester von Mono- und Diglyceriden von Speisefettsäuren; Säureregulatoren: Ascorbinsäure, Natriumascorbat; Salz, Aroma), Wasser,
Reisstärke, Maisstärke, Reismehl, Zichorienfaser, Verdickungsmittel: Hydroxypropylmethylcellulose, Guarkernmehl; Dextrose, Sonnenblumenöl, SOJAPROTEIN, Emulgator: Mono- und Diglyceride
von Speisefettsäuren; Salz, Kartoffelflocken, Backtriebmittel: Ammoniumhydrogencarbonat. LAKTOSEFREI (Laktose < 0,007g/100g) ",250 Gramm,täglich,Schnelle Küche,Fertigteige & Aufbackwaren,oda,,,,,,TiefkühlproduktBei -18 °C oder niedriger lagern. Nach dem Auftauen nicht wieder einfrieren.,,,,,,,,,,,,
330,Jeden Tag Frischer Blätterteig,"0,99€","Gekühlter Blätterteig, aufgerollt auf Backpapier, backfertig , Zentrale Handelsgesellschaft- ZHG-mbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59355-jeden-tag-jeden-tag-frischer-blatterteig/,https://bilder.kolonial.no/local_products/1fa74314-486b-44dc-b888-86770bb400cd.jpg?auto=format&fit=max&w=1000&s=200af8a5687204aed4bd96f7c14a3218,0.83 g,5.70 g,,1.10 g,35 g,12 g,24 g,1589 kJ / 381 kcal,"Zentrale Handelsgesellschaft- ZHG-mbH, Hanns-Martin-Schleyer Str. 2, 77656 Offenburg, Deutschland",,,"WEIZENMEHL, Palmfett, Trinkwasser, Ethylalkohol, Zucker, Speisesalz, Säuerungsmittel: Citronensäure. ",275 Gramm,täglich,Schnelle Küche,Fertigteige & Aufbackwaren,oda,,,,,,,,,,,,,,,,,,
331,Jeden Tag Frischer Pizzateig XXL,"1,39€","Pizzateig, backfertig, aufgerollt auf Backpapier , Zentrale Handelsgesellschaft- ZHG-mbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59356-jeden-tag-jeden-tag-frischer-pizzateig-xxl/,https://bilder.kolonial.no/local_products/ccf3e771-7b6c-4ffc-940e-07beb25b14b8.jpg?auto=format&fit=max&w=1000&s=4ec7e8b9e862e917348fabd0cf0c1ec2,,,,,,,,,"Zentrale Handelsgesellschaft- ZHG-mbH, Hanns-Martin-Schleyer Str. 2, 77656 Offenburg, Deutschland",Deutschland,,"WEIZENMEHL, Trinkwasser, Rapsöl, Olivenöl, WEIZENSTÄRKE, Ethylalkohol, Speisesalz, Backtriebmittel: Diphosphate, Natriumcarbonate; Hefe, WEIZENEIWEISS, Dextrose, Maismehl, Säuerungsmittel: Citronensäure; Emulgator: Mono- und Diglyceride von Speisefettsäuren. ",550 Gramm,täglich,Schnelle Küche,Fertigteige & Aufbackwaren,oda,,,,,,,,,,,,,,,,,,
332,Tillman's Pulled Pork,"6,59€","Schweinebraten aus dem Schulterstück mit BBQ Würzung - einfach lecker! Pulled Pork ist unglaublich zart und ist einfach mit zwei Gabeln auseinanderzuziehen. Das gezupfte Fleisch mit der Marinade vermengen. Dann auf dem Teller oder im Burgerbrötchen mit etwas BBQ-Sauce und weiteren Beilagen servieren. , Zur Mühlen Gruppe Markenvertriebs GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/51641-tillmans-tillmans-pulled-pork/,https://bilder.kolonial.no/local_products/3980bb2e-2115-4641-b55c-9a883b42c904.jpg?auto=format&fit=max&w=1000&s=a22a71a34f44d7a08888a9cbf1b9b0bb,1.60 g,19 g,,1.50 g,2.80 g,1.20 g,3 g,486 kJ / 116 kcal,"Zur Mühlen Gruppe Markenvertriebs GmbH, Gewerbestraße 1, 24860 Böklund, Deutschland",Deutschland,,"82% Schweinefleisch, Trinkwasser, Zucker, Gewürze, Speisesalz, Tapiokastärke, Maltodextrin, Karotten, Tomaten, Glucosesirup, Zwiebelextrakt, Karamell. Kann Spuren von SENF und SELLERIE enthalten. ",550 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,,,,,,,,,,,,,,,,,,
333,Tillman's Pulled Chicken,"6,59€","Aus der Hähnchenbrust, flüssig gewürzt und zart gegart, fertig zum Erhitzen im Ofen oder auf dem Grill. Pulled Chicken ist unglaublich zart und ist einfach mit zwei Gabeln auseinanderzuziehen. Das gezupfte Fleisch mit der Marinade vermengen. Dann auf dem Teller oder im Burgerbrötchen mit etwas BBQ-Sauce und weiteren Beilagen servieren. , Zur Mühlen Gruppe Markenvertriebs GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/51642-tillmans-tillmans-pulled-chicken/,https://bilder.kolonial.no/local_products/f5a44504-9cf1-43cd-b99e-88e6d6006a5a.jpg?auto=format&fit=max&w=1000&s=af4689c0c0f54039a31842c1787734f7,2.30 g,17 g,,2.80 g,2.80 g,1 g,1 g,439 kJ / 105 kcal,"Zur Mühlen Gruppe Markenvertriebs GmbH, Gewerbestraße 1, 24860 Böklund, Deutschland",Deutschland,,"Hähnchenbrust (82%), Trinkwasser, Tapiokastärke, Kartoffelstärke, Glucosesirup, Gewürze (Schwarzer Pfeffer, Paprika, Zwiebel, Knoblauch, Fenchel, Zimt, Nelken), Speisesalz, Rohrzucker, Tomatengranulat, Zitronenfruchtpulver, Gewürzextrakte, Hickoryrauch. Kann Spuren von SENF und SELLERIE enthalten. ",550 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,,,,,,,,,,,,,,,,,,
334,Flemmings Hot-Dog Twin Pack,"2,75€","2x Hot Dog American Style. Mit Heinz Ketchup. , Walke Trade & Consult GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47200-flemmings-flemmings-hot-dog-twin-pack/,https://bilder.kolonial.no/local_products/fee38ed2-dedc-45fa-b7ac-676bc2416658.jpg?auto=format&fit=max&w=667&s=82935dd3ccbe28fa0761e23fe59bfdc6,1.40 g,10.40 g,,3.20 g,3.20 g,11.10 g,11.10 g,969 kJ / 232 kcal,"Walke Trade & Consult GmbH, Feldstraße 12, 49214 Bad Rothenfelde, Deutschland",Niederlande,,"45,8% Hotdog-Brötchen* (WEIZENMEHL, Wasser, Zucker, Rapsöl, Backhefe, jodiertes Speisesalz, WEIZENGLUTEN, Emulgator (Mono- und Diglyceride von Fettsäuren), Glucose Sirup, Konservierungsstoff (Calciumpropionat, Sorbinsäure), KASEINATE, natürliches Aroma, Mehlbehandlungsmittel (Ascorbinsäure)). 45,8% Würstchen (89% Schweinefleisch, Schweinekollagen, Säureregulator (Kaliumlactat), Mineralsalz (Kaliumsalz), Raucharoma, Salz, Dextrose, Stabilisator (Kalium- und Natriumdiphosphate, Polyphosphate), Säuerungsmittel (Zitronensäure), natürliches Aroma, Antioxidationsmittel (Natriumascorbat), Konservierungsstoff (Kaliumacetat, Natriumnitrit), Kräuter und Gewürze). 4,8% Senf (Wasser, 19% SENFSAAT, Alkoholessig, Salz, Zucker, Gewürze). 3,6% Tomatenketchup (Tomate (148g pro 100g Tomatenketchup), Essig, Zucker, Salz, Kräuter- und Gewürzextrakt (enthält SELLERIE), Gewürze). Unter Schutzatmosphäre verpackt. *Kann Spuren von SESAMSAMEN, EI und SOJA enthalten. ",109 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,,,,,,,,,,,,,,,,,,
335,Flemmings Cheeseburger Twin Pack,"2,75€","2 Cheese Burger mit Ketchup. , Walke Trade & Consult GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44962-flemmings-flemmings-cheeseburger-twin-pack/,https://bilder.kolonial.no/local_products/3d1b0600-cf9f-45fe-84aa-90689a051898.jpg?auto=format&fit=max&w=515&s=c6b7731cd0dd0e9792557ea912c042e7,1.90 g,12.20 g,,3.80 g,3.80 g,12.90 g,12.90 g,1136 kJ / 272 kcal,"Walke Trade & Consult GmbH, Feldstraße 12, 49214 Bad Rothenfelde, Deutschland",Niederlande,,"42,1% *SESAMBRÖTCHEN (WEIZENMEHL, Wasser, Backhefe, Zucker Rapsöl, 2% SESAMSAAT, jodiertes Speisesalz, WEIZENGLUTEN, Emulgator (mono- und Diglyceride von Fettsäuren), Glucose Sirup, Konservierungsstoff (Calciumpropionat, Sorbinsäure), KASEINATE, natürliches Aroma, Mehlbehandlungsmittel (Ascorbinsäure)). *Kann Spuren von EI enthalten. 42,1% Burger (52% Hühner Separatorenfleisch, 20 % Rindfleisch, SOJAPROTEIN, WEIZENSTÄRKE, WEIZENMEHL, Salz, Gemüsepulver (Zwiebel), WEIZENGLUTEN, Säuerungsmittel (Natriumacetat), Emulgator (Kalium- und Natriumtriphosphate), Brandzuckersirup, Kräuter und Gewürze, Wasser). 9,6% SCHMELZKÄSE (KÄSE, KUHMILCH, Salz, Starter, Lab, Konservierungsmittel (Natriumnitrat), Farbstoffe (Annatto Norbixin), Carotin), Wasser, Pflanzenfett, modifizierte Stärke, Schmelzsalz (Natriumcitrate), KASEINTE, Salz, Farbstoff (Paprikaextrakt, Carotin)). 6.2% Tomatenketchup (Tomate (148g pro 100g Tomatenketchup), Essig, Zucker, Salz, Kräuter- und Gewürzextrakt (enthält SELLERIE), Gewürze). Trotz aller Sorgfalt können harte Teilchen im Produkt vorhanden sein. Unter Schutzatmosphäre verpackt. ",130 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,6 Tage,,,,,,,,,,,,,,,,,
336,Rügenwalder Vegane Mühlen Schnitzel klassisch,"3,19€","Vegane Mühlen Schnitzel 180g SB , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43875-rugenwalder-muhle-rugenwalder-vegane-muhlen-schnit/,https://bilder.kolonial.no/local_products/677d8359-4001-40a6-ae1c-ad9661b9c81f.jpg?auto=format&fit=max&w=1000&s=b958d7641712851a4646249271578d9c,1.90 g,14 g,6.40 g,0.60 g,11 g,0.90 g,10 g,846 kJ / 203 kcal,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,,"Trinkwasser, WEIZENMEHL, 11% SOJAPROTEIN, Rapsöl, WEIZENGLUTEN, HAFERFASERN, Kochsalz, Verdickungsmittel: Methylcellulose, Maismehl, natürliches Aroma, WEIZENSTÄRKE, Branntweinessig, Gewürze, Zucker, Flohsamenschalen, Hefe. ",180 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,,,,Deutschland,,,,,10 g,,,7 g,,,,,7.70 g,3.10 g
337,Rügenwalder Veganes Mühlen Schnitzel Cordon Bleu,"3,29€","Veganes Erzeugnis nach Art eines Schnitzels, gefüllt mit einer veganen Schmelzscheibe (8%) und veganem Schinken (6%), paniert, frittiert , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46274-rugenwalder-muhle-rugenwalder-veganes-muhlen-schni/,https://bilder.kolonial.no/local_products/4799464b-3d14-4fcc-b809-5f920f97c03a.jpg?auto=format&fit=max&w=1000&s=c6e5cd32e64c812c5640417c0c4eaef4,1.50 g,12 g,5 g,1.20 g,13 g,0.90 g,11 g,872 kJ / 209 kcal,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,,"Trinkwasser, WEIZENMEHL, Rapsöl, 9% SOJAPROTEIN, WEIZENGLUTEN, HAFERFASERN, Stärke, Kochsalz, Verdickungsmittel: Methylcellulose, Maismehl, natürliches Aroma, WEIZENSTÄRKE, Branntweinessig,
Gewürze, Zucker, Flohsamenschalen, Kartoffelprotein, Hefe, Farbstoffe: Beta-Carotin, Anthocyane. ",200 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,,,,Deutschland,,,,,12 g,,,7 g,,,,,7.70 g,2.60 g
338,Rügenwalder Vegane Mühlen Nuggets klassisch,"3,19€","Es muss nicht immer Chicken sein. Richtig leckere Nuggets gibt‘s auch ohne Fleisch. Unsere veganen Nuggets sind einfach perfekt, wenn schnell mal was Warmes auf den Tisch soll. Und auch beim Kindergeburtstag kommen die knusprigen Leckerbissen immer gut an. Klar, wenn man zum Essen die Finger nehmen darf.

Statt Fleisch verwenden wir für unsere veganen Nuggets Weizen und Soja sowie eine kleine Menge Rapsöl mit Omega-3-Fettsäuren. , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44138-rugenwalder-muhle-rugenwalder-vegane-muhlen-nugget/,https://bilder.kolonial.no/local_products/20cd4c45-83b7-452e-853b-7ef3315ea7e7.jpg?auto=format&fit=max&w=671&s=90b0aa74002abc12df4a166aa7bef7ed,1.80 g,17 g,3.70 g,1.50 g,10 g,1 g,11 g,896 kJ / 214 kcal,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,,"Trinkwasser, WEIZENMEHL, 11% SOJAPROTEINKONZENTRAT, Rapsöl, WEIZENGLUTEN, 4% SOJAPROTEINISOLAT, Kochsalz, Verdickungsmittel: Methylcellulose, Branntweinessig, Maismehl, natürliches Aroma, WEIZENSTÄRKE, Zucker, Gewürze, Hefe. ",180 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,,,,Deutschland,,,,,8.50 g,,,7.10 g,,,,,8.50 g,2.90 g
339,Rügenwalder Vegetarische Mühlen Würstchen im Becher,"2,99€","Vegetarisches Erzeugnis nach Art eines Würstchen auf Basis von Ei, gegart, geräuchert , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43524-rugenwalder-muhle-rugenwalder-vegetarische-muhlen/,https://bilder.kolonial.no/local_products/06b5fdf9-2596-4027-b480-5c70108eb50f.jpg?auto=format&fit=max&w=674&s=7f5aa9e15f7a88e661db5deba466d539,2.80 g,8.80 g,,1 g,1.10 g,1.50 g,19 g,911 kJ / 221 kcal,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,,"Trinkwasser, Rapsöl, 8% EIKLAR* getrocknet, Zwiebeln, Verdickungsmittel: Methylcellulose, Xanthan; Kochsalz, Branntweinessig, natürliches Aroma, Gewürze, Traubenzucker, Flohsamenschalen, Farbstoffe: Eisenoxide, Carotine; Rauch. Kann Spuren von Soja und Weizengluten enthalten. Wir verwenden nur Eier aus Freilandhaltung. ",200 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,,,,Deutschland,,,"Gluten, Sojabohnen.",,0.50 g,,,12.60 g,,,,,,5 g
340,Rügenwalder Vegetarische Mühlen Frikadellen Klassisch,"2,99€","Bei max. + 7°C mindestens haltbar bis:
siehe Verpackungsaufdruck , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45509-rugenwalder-muhle-rugenwalder-vegetarische-muhlen/,https://bilder.kolonial.no/local_products/e3117ccc-13cc-4dd8-b396-7fdfa6b55279.jpg?auto=format&fit=max&w=767&s=fba92aa24c2139601801118624861c67,1.80 g,12 g,,1.50 g,8.10 g,0.60 g,7.90 g,698 kJ / 168 kcal,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,,"Trinkwasser, Zwiebeln, 13% SOJAPROTEIN, Rapsöl, Aroma, Stärke, Bambusfasern, Verdickungsmittel: Methlycellulose, verarbeitete Euchema-Algen; Sonnenblumenprotein, Kartoffelprotein, Citrusfasern, Gewürze, Kochsalz, Branntweinessig, Karamell, Traubenzucker. ",165 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,6 Tage,,,Deutschland,,,"Gluten, Eier.",,6.60 g,,,11.20 g,,,,,,4.50 g
341,Rügenwalder Mühlen Frikadellen klassisch,"2,79€","Die Mühlen Frikadellen klassisch der Rügenwalder Mühle sind aus hochwertigem, magerem Fleisch hergestellt, fettfrei gebraten und locker in der Konsistenz. 
Wie alle Produkte von der Rügenwalder Mühle werden die Mühlen Frikadellen ohne Zusatz von Geschmacksverstärkern, gluten- und lactosefrei hergestellt und regelmäßig vom SGS Institut Fresenius kontrolliert. 

Im innovativen wieder verschließbaren Snackbecher sind Mühlen Frikadellen der ideale Snack für zwischendurch und unterwegs. , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44855-rugenwalder-muhlen-frikadellen-klassisch/,https://bilder.kolonial.no/local_products/05414eb9-628f-4f9d-8566-67e61ec98c3a.jpg?auto=format&fit=max&w=781&s=b0af685dbeba92cf7e3daf7f480c6764,1.90 g,16 g,,1.60 g,4.40 g,8.20 g,21 g,1124 kJ / 271 kcal,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",Deutschland,,"86% Schweinefleisch, Zwiebeln, VOLLEI, Erbsenmehl, Paniermehl (glutenfreie WEIZENSTÄRKE, Wasser, Zucker, Rapsöl, Kochsalz, Hefe,
Flohsamenschalen, Verdickungsmittel: Xanthan, Oligofruktose, Karamell, Maltodextrin), Kochsalz, Gewürze, Zucker, Traubenzucker. ",165 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,,,,,,,,,2.80 g,,,10 g,,,,,,2.80 g
342,Rügenwalder Mühlen Frikadellen 100% Geflügel,"2,79€","Die Mühlen Frikadellen 100 % Geflügel der Rügenwalder Mühle sind:
- aus 100 %Geflügelfleisch,
- fettfrei gebraten und
- locker in der Konsistenz.

Wie alle Produkte von der Rügenwalder Mühle werden die Mühlen Frikadellen ohne Zusatz von Geschmacksverstärkern und laktosefrei hergestellt und regelmäßig vom SGS Institut Fresenius kontrolliert. Im innovativen wieder verschließbaren Snackbecher sind Mühlen Frikadellen der ideale Snack für zwischendurch und unterwegs.

- 100% Geflügel 

- hoher Proteingehalt

- Geflügel zu 100% aus Deutschland

- Mühlen Frikadellen schmecken kalt oder warm, als kleine Mahlzeit oder als Snack für zwischendurch. , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43867-rugenwalder-muhlen-frikadellen-100-geflugel/,https://bilder.kolonial.no/local_products/5efd12ec-3801-42d4-94e5-07a64b9ec12e.jpg?auto=format&fit=max&w=781&s=599866a8b50aa8cfdcde940fd2e53298,2 g,14 g,,2.10 g,5.70 g,4 g,13 g,816 kJ / 196 kcal,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",Deutschland,,"81% Geflügelfleisch (Hähnchen-, Putenfleisch), Geflügelfett mit Haut,
Zwiebeln, fraktioniertes Erbsenmehl, Paniermehl (glutenfreie WEIZENSTÄRKE, Trinkwasser, Zucker, Rapsöl, Kochsalz, Hefe, Flohsamenschalen, Verdickungsmittel: Xanthan, Oligofruktose, Karamell, Maltodextrin), VOLLEI, Kochsalz, Gewürze, Zucker,
Traubenzucker. ",165 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,,,,,,,,,3.60 g,,,6.40 g,,,,,,2.60 g
343,Sprehe Chicken Nuggets,"2,19€","Hähnchen Nuggets , Paul Daut GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44141-sprehe-sprehe-chicken-nuggets/,https://bilder.kolonial.no/local_products/a5b430d3-bf01-4240-b3fc-ab0e2981c55a.jpg?auto=format&fit=max&w=699&s=0a5f770077cc2b604f6b6678fc73ade1,1.50 g,12 g,,0.70 g,15 g,3.50 g,17 g,1088 kJ / 261 kcal,"Paul Daut GmbH & Co. KG, Schmeerplatzweg 11, 33378 Rheda-Wiedenbrück, Deutschland",Deutschland,,"Hähnchenfleisch 56%, Hähnchenhaut, Panade (Paniermehl (WEIZENMEHL, Wasser, Sals, Gewürze, Hefe)), Nasspanade (Trinkwasser, mod. 
WEIZENSTÄRKE, WEIZENMEHL, Speisesalz, Verdickungsmittel: Guarkernmehl), pflanzliche Öle und Fette (Raps, Palm in veränderlichen Gewichtsanteilen), Speisesalz, Glukosesirup, Maltodextrin, Dextrose, Kartoffelstärke, Gewürze, Stabilisator: E450 ",200 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,5 Tage,,,,,,,,,,,,,,,,,
344,Garden Gourmet Gemüsebällchen,"3,19€","Was rollt denn da? Ganz klar, die vegetarischen Gemüsebällchen. Ob als leckerer Snack on tour, im Salat oder als Beilage: Die Bällchen aus Karotten, Erbsen, Mais, Pfeffer und Zwiebeln bringen ordentlich Schwung in den Tag. , Tivall Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50538-garden-gourmet-garden-gourmet-gemuseballchen/,https://bilder.kolonial.no/local_products/b296abd3-9a1b-42c9-babf-d0b62f6099a6.jpg?auto=format&fit=max&w=765&s=d940b38abb2d010e9daf10b96aa930fe,1 g,16.20 g,,3.30 g,5.20 g,1 g,14.40 g,942 kJ / 225 kcal,"Tivall Deutschland GmbH, Lyoner Str. 23, 60528 Frankfurt am Main, Deutschland",,,"Trinkwasser, pflanzliche Öle in veränderlichen Gewichtsanteilen (Raps, Sonnenblume), 12,6% Karotten, 10,3% Erbsen, 9,7% SOJAPROTEIN*, 8,1% Mais, 6,7% WEIZENPROTEIN, Zwiebeln, HÜHNEREI-Eiweißpulver, Apfelpüree, 2,5% rote Paprika, Branntweinessig, Gewürze (Zwiebelpulver, schwarzer Pfeffer, Kurkuma), Stärke, Erbsenfaser, Speisesalz, Säureregulator (Kaliumhydroxid). Kann SESAM, SELLERIE und SENF enthalten. *Hergestellt aus 100% europäischem Soja. ",200 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,6 Tage,,,,,,,,,,,,,,,,,
345,Garden Gourmet Sensational Knusper Filets,"3,19€","Knusprig, saftig, lecker: Das sind die neuen Garden Gourmet Sensational Knusper-Filets mit veganer Hähnchentextur und knuspriger Panade. , Tivall Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/55131-garden-gourmet-garden-gourmet-sensational-knusper/,https://bilder.kolonial.no/local_products/4034be8a-ec6e-4586-94bc-9b14e82b7add.jpg?auto=format&fit=max&w=740&s=233154b41145123ce633c013a9ca9a69,1.10 g,19.10 g,3.60 g,0.50 g,17.60 g,1 g,10.10 g,1028 kJ / 246 kcal,"Tivall Deutschland GmbH, Lyoner Str. 23, 60528 Frankfurt am Main, Deutschland",,,"Trinkwasser, 12,7% SOJAPROTEIN, 13,2% Panade (WEIZENMEHL, WEIZENSTÄRKE, Rapsöl, Hefe, Speisesalz), 9,7% WEIZENPROTEIN, Rapsöl, WEIZENMEHL, Branntweinessig1, natürliches Aroma, Hefeextrakt, Speisesalz, Zucker, schwarzer Pfeffer, Verdickungsmittel Johannisbrotkernmehl. Unter Schutzatmosphäre verpackt. Kann SENF, SELLERIE, SESAM und EI enthalten. ",190 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,,,,,,,,,,,,,,,,,,
346,Garden Gourmet Vegane Burger,"3,19€","Rauf aufs Brötchen und genießen. Der veganer Burger ist wunderbar saftig und richtig, richtig lecker. Wie gemacht für lange Grillabende oder – Sommer wie Winter – direkt aus der Pfanne. Denn dieses Patty kann man stapelweise kombinieren. Salat, Brot, Früchte oder Gemüsescheiben: Die Burger-Bauanleitung bestimmst allein du. , Tivall Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50539-garden-gourmet-garden-gourmet-vegane-burger/,https://bilder.kolonial.no/local_products/45717ac3-c8dd-47fd-baee-8ce6c991e361.jpg?auto=format&fit=max&w=737&s=6b3b9ca0bafae8e053e048876fdd9553,1.30 g,16.90 g,,2.80 g,2.80 g,5.60 g,5.60 g,655 kJ / 157 kcal,"Tivall Deutschland GmbH, Lyoner Str. 23, 60528 Frankfurt am Main, Deutschland",Niederlande,,"Trinkwasser, 18,5% SOJAPROTEIN, 5,7% WEIZENPROTEIN, pflanzliche Öle in veränderlichen Gewichtsanteilen (Raps, Sonnenblume), Röstzwiebeln (Zwiebeln, pflanzliche Öle (enthält Sonnenblumenöl und /oder Rapsöl)), Maisstärke, Aroma, Branntweinessig, Stabilisator (Methylcellulose), Zwiebelpulver, Speisesalz, Hefeextrakt, GERSTENMALZEXTRAKT, Säureregulator (Kaliumhydroxid). Unter Schutzatmosphäre verpackt. Kann EI, SESAM, SELLERIE und SENF enthalten. ",150 Gramm,täglich,Schnelle Küche,Fleisch- & Fischprodukte,oda,6 Tage,,,,,,,,,,,,,,,,,
