,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsland,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Frischegarantie (mindestens),PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Eigenschaften,Ursprungsregion,Ballaststoffe,Lagerung,Kann Spuren enthalten von ,Abtropfgewicht,Variables Gewicht,Beschreibung,Inverkehrbringer,Hinweis,mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Besonderheiten,Gewichtsklasse,Güteklasse,Größe,Handelsklasse,Size,Delivery days,Freshness guarantee,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Alpro anzeigen,Natrium,Pfand
543,Milchschnitte,"1,69€","MILCHSCHNITTE 5er (5x28g)x8 , Ferrero hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43409-milchschnitte-milchschnitte/,https://bilder.kolonial.no/local_products/bd793fc0-6d76-44ba-9506-3464f5f1d42e.jpg?auto=format&fit=max&w=1000&s=07d12ae21852b792aa2cd9445bdcb44a,0.61 g,7.90 g,29.50 g,34 g,16.60 g,27.90 g,1754 kJ / 421 kcal,"Ferrero, Hainer Weg 120, DE-60624, Frankfurt am Main, Deutschland",,"frische VOLLMILCH (40 %), Palmöl, Zucker, WEIZENMEHL (10,5%), MAGERMILCHPULVER (9 %), Honig (5 %), BUTTERREINFETT, VOLLEIPULVER, fettarmer Kakao, WEIZENKLEIE, Backtriebmittel:Dinatriumdiphosphat, Natriumhydrogencarbonat, Ammoniumcarbonat;Emulgator Mono- und Diglyceride von Speisefettsäuren, Salz, natürlicheAromen, Vanillin. Kann SOJA enthalten. ",140 Gramm,täglich,,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,,,,Sojabohnen.,,,,,,,,,,,,,,,,,,
544,"Danone Fruchtzwerge 20% Erdbeer,Kirsch,Himbeer 6Stk","2,35€","Seit 1981 begleitet FruchtZwerge Kinder in Deutschland beim Großwerden. Als eins der beliebtesten Kinderprodukte werden in Deutschland rund 500 FruchtZwerge pro Minute verzehrt! FruchtZwerge ist eine Frischkäsezubereitung, die der Kategorie Quark zugeordnet wird. Daher hat es eine festere Konsistenz als andere Milchprodukte und kann von Kindern selbstständig und ohne zu kleckern gelöffelt werden. Da Kinder meist keine Fruchtstücke mögen, wird der Quark mit pürierten Früchten gemischt. FruchtZwerge bietet Familien eine Auswahl an vielseitigen Produkten, die nicht nur lecker schmecken, sondern auch dazu beitragen, den Körper mit Vitamin D und Calcium zu versorgen. FruchtZwerge in der Sorte Erdbeere, Kirsche und Himbeere beinhaltet keine Konservierungsstoffe und einen Nutri-Score B.

Mit Vitamin D angereichert. , Danone GmbH - Germany hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43466-danone-danone-fruchtzwerge-20-erdbeer-kirsch-himbe/,https://bilder.kolonial.no/local_products/d4df66d1-60da-4bac-991b-78492655b624.jpg?auto=format&fit=max&w=1000&s=329f001cde1a251e922412cd5bddb373,0.09 g,6.40 g,11.70 g,12.30 g,1.90 g,2.90 g,427 kJ / 101 kcal,"Danone GmbH - Germany, Richard-Reitzner-Allee 1, 85540 Haar, Deutschland",,"FRISCHKÄSE, RAHM, Zucker, 6% Erdbeeren1, 6% Himbeeren2, 6% Kirschen3, färbende Konzentrate Holunder2, Schwarze Karotte1,3 und Kürbis1, Calciumcitrat, natürliches Aroma, Vitamin D. 1 bei Sorte Erdbeere, 2 bei Sorte Himbeere, 3 bei Sorte Kirsche. Enthält MILCH. ",300 Gramm,täglich,2 Tage,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,Polen,,,,,,,,,,,,,,,,,,,,,
545,Jeden Tag Skyr Natur,"1,49€","Skyr natur, nach isländischer Art. Magerstufe. , Arla Foods Inc. hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43548-jeden-tag-jeden-tag-skyr-natur/,https://bilder.kolonial.no/local_products/03b80c2c-db93-4622-9cc4-d6157a81f6d1.jpg?auto=format&fit=max&w=764&s=9f808edadccc469c9a4176cee8a9d62d,0.19 g,11 g,4.40 g,4.40 g,,,275 kJ / 66 kcal,"Arla Foods Inc., Wahlerstraße 2, 40472 Düsseldorf, Deutschland",,"MILCH, Milchsäurekulturen (enthalten MILCH), mikrobielles Lab. ",500 Gramm,täglich,5 Tage,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,Dänemark,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,,,,,,,,
546,Ehrmann Veo Vegan Chocolate Pudding,"1,49€","Der vegane Pudding auf Basis von Kokos und Kichererbse ist laktose- und glutenfrei, frei von Nüssen, Soja und Palmöl. , Ehrmann GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43962-ehrmann-ehrmann-veo-vegan-chocolate-pudding/,https://bilder.kolonial.no/local_products/1502e471-9e43-4939-a2d7-3ec7e30bbdd8.jpg?auto=format&fit=max&w=942&s=d29aaaa256fc7dd26b2ceb2529d51dcc,0.15 g,1.20 g,9 g,14 g,4.50 g,6.80 g,518 kJ / 124 kcal,"Ehrmann GmbH, A.-Ehrmann-Straße 2, 87770 Oberschönegg, Deutschland",,"Wasser, Zucker, Kokosnussmilch 8,7%, modifizierte Stärke, ganz gehärtetes Kokosfett, Kichererbsen, Kakaopulver 1,8%, pflanzliches Öl (Sonnenblume), pflanzliches Fett (Kokos), Stärke, Glukosesirup, natürliches Aroma, Feuchthaltemittel (Sorbit), fettarmes Kakaopulver 0,2%, Glukose, Verdickungsmittel (Carrageen), Emulgatoren (E 471, E 435, E 481, E 475), Salz, Stabilisatoren (Cellulose, E 466, E 461), Säureregulatoren (Natriumcitrate, E 339).
Topping mit Stickstoff aufgeschlagen.
Kann Spuren von Milch enthalten.",175 Gramm,täglich,4 Tage,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,Deutschland,1 g,,Milch.,,,,,,,,,,,,,,,,,,
547,Müller Milchreis Kirsch,"0,89€","Macht Appetit auf mehr: Müller Milchreis Original Kirsche. Obwohl der cremig angerührte Milchreis mit der fruchtigen Kirsch-Soße den Kleinen Hunger stillt, bekommt man einfach nicht genug davon! , Molkerei Alois Müller GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42221-muller-muller-milchreis-kirsch/,https://bilder.kolonial.no/local_products/3679a300-8133-445b-ba70-0b59c23e1490.jpg?auto=format&fit=max&w=1000&s=f34af3b878782b2c7f5777431b37d57b,0.20 g,3 g,13 g,13 g,2.20 g,2.20 g,458 kJ / 109 kcal,"Molkerei Alois Müller GmbH & Co. KG, Zollerstraße 7, 86850 Fischach-Aretsried, Deutschland",,"VOLLMILCH, BUTTERMILCH, Wasser, Zucker, Kirsche*, 6,7% Reis, Traubenzucker, VOLLEI, Speisesalz, modifizierte Stärke, Verdickungsmittel Johannisbrotkernmehl, Guarkernmehl, Pektine; Säuerungsmittel Citronensäure, Säureregulator Natriumcitrate, Calciumcitrate; Farbstoff Echtes Karmin, Aroma. *Fruchtgehalt im Endprodukt: 6,7 %. KANN SPUREN VON SOJA UND GLUTENHALTIGEM GETREIDE ENTHALTEN. ",200 Gramm,täglich,5 Tage,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,Deutschland,,,"Gluten, Sojabohnen.",,,,,,,,,,,,,,,,,,
548,Exquisa Snack Natur,"1,29€","Der erste Käsekuchen aus dem Kühlregal. Mit Frischkäse gebacken – dadurch besonders saftig und lecker. Ohne Zusatz von Konservierungsstoffen. , Karwendel-Werke Huber GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43815-exquisa-exquisa-snack-natur/,https://bilder.kolonial.no/local_products/b91d3d27-7b8a-4edd-a29e-c8fc17253520.jpg?auto=format&fit=max&w=1000&s=e7b42f8b7c4eaca02635bd31cfa642c8,0.50 g,7.50 g,29 g,29 g,12 g,12 g,1265 kJ / 302 kcal,"Karwendel-Werke Huber GmbH, Karwendelstraße 6-16, 86807 Buchloe, Deutschland",,"FRISCHKÄSE Magerstufe, Zucker, VOLLEI, HÜHNEREIEIWEIß, Palmfett, BUTTERMILCH, WEIZENMEHL, WEIZENSTÄRKE, Stärke, Reisquellmehl, SÜßMOLKENPULVER, modifizierte Stärke, Feuchthaltemittel E420, E422; Backtriebmittel E500, E450; Salz, Säureregulator E262; Säuerungsmittel E270, Emulgatoren E471, E475; natürliches Aroma. Unter Schutzatmosphäre verpackt. Kann Spuren von SCHALENFRÜCHTEN enthalten. ",70 Gramm,täglich,6 Tage,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,Deutschland,,,,,,,,,,,,,,,,,,,,,
549,Arla Skyr Erdbeere,"2,39€","Ob als Frühstück, Zwischenmahlzeit oder Nachtisch – Arla® Skyr ist immer eine gute Idee. Jetzt neu von Arla® Skyr: Die fruchtige Sorte Erdbeere im großen 450 g Becher für extra viel Arla® Skyr-Genuss. , Arla Foods Inc. hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44987-arla-arla-skyr-erdbeere/,https://bilder.kolonial.no/local_products/f24133ad-94b3-4f21-ada3-d09aa2303a39.jpg?auto=format&fit=max&w=730&s=2ec483f1d2299201ed3e41b6cf101971,0.12 g,9.20 g,7.20 g,7.20 g,0.20 g,0.20 g,309 kJ / 74 kcal,"Arla Foods Inc., Wahlerstraße 2, 40472 Düsseldorf, Deutschland",,"MAGERMILCH, Erdbeeren 7%, Zucker, Stärke, Zitronensaft aus Fruchtsaftkonzentrat, natürliches Aroma, Milchsäurekulturen (enthält MILCH). ",450 Gramm,täglich,5 Tage,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,Deutschland,,,,,,,,,,,,,,,,,,,,,
550,Müller Grießpudding m.Kirsch-Soße,"1,59€","Cremig, grießig, kirschig: Müller Grieß Pudding mit Kirschsoße ist der leckere Klassiker mit feincremiger Grießtextur! , Molkerei Alois Müller GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42751-muller-muller-griesspudding-m-kirsch-sosse/,https://bilder.kolonial.no/local_products/1ee76a0c-4c10-4a2c-b0f3-65f8b1c13868.jpg?auto=format&fit=max&w=1000&s=aec7eb03f11347d7412a1d519eb738b7,0.10 g,2.50 g,17.90 g,21.80 g,1.50 g,2.30 g,499 kJ / 119 kcal,"Molkerei Alois Müller GmbH & Co. KG, Zollerstraße 7, 86850 Fischach-Aretsried, Deutschland",,"MAGERMILCH, Zucker, Wasser, SCHLAGSAHNE, 3,9% Maisgrieß, 2% Kirschsaft aus Kirschsaftkonzentrat, modifizierte Stärke, Verdickungsmittel Carrageen, Speisesalz, Säuerungsmittel Citronensäure, Stabilisator Kaliumchlorid, Aroma, Farbstoffe Echtes Karmin, Carotin. Kann Spuren von GLUTENHALTIGEM GETREIDE enthalten. ",450 Gramm,täglich,,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,,,,,,,,,,,,,,,,,,,,,,
551,Kinderpingui Schoko,"1,69€","KINDER PINGUI 4er , Ferrero hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44599-kinderpingui-kinderpingui-schoko/,https://bilder.kolonial.no/local_products/1448e7db-4baa-456a-b244-dd818d959992.jpg?auto=format&fit=max&w=571&s=40207a41623dcc4a64b02b9187013739,0.25 g,7 g,33.10 g,37.80 g,20 g,29.70 g,1873 kJ / 450 kcal,"Ferrero, Hainer Weg 120, DE-60624, Frankfurt am Main, Deutschland",,"frische VOLLMILCH (24 %), Halbbitterschokolade 22 % (Zucker, Kakaomasse, Kakaobutter, Emulgator Lecithine (SOJA), Vanillin), Zucker, Palmöl, MAGERMILCHPULVER (9,5 %), WEIZENMEHL, Kakaobutter, BUTTERREINFETT, Traubenzucker, VOLLMILCHSCHOKOLADE 1 % (Zucker, VOLLMILCHPULVER, Kakaobutter, Kakaomasse, Emulgator Lecithine (SOJA), Vanillin), fettarmer Kakao (0,9%), EIPULVER, Backhefe, Emulgatoren: Mono- und Diglyceride vonSpeisefettsäuren, Lecithine (SOJA); Aromen, Salz, GERSTENMALZEXTRAKTPULVER. ",120 Gramm,täglich,,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,,,,,,,,,,,,,,,,,,,,,,
552,Loose Quäse mit Skyr Kulturen,"2,49€","LOOSE Quäse mit SKYR Kulturen, 115g Loose

Proteine tragen zu einer Zunahme der Muskelmasse bei. Von Natur aus wenig Fett, viel Protein , Kaeserei Loose GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45097-loose-loose-quase-mit-skyr-kulturen/,https://bilder.kolonial.no/local_products/03ca6b25-7f67-484a-bec7-3fdac28b1fb1.jpg?auto=format&fit=max&w=1000&s=bb72b095b03907240387c5da13c7f65d,2.70 g,30 g,0.10 g,0.10 g,0.20 g,0.50 g,529 kJ / 125 kcal,"Kaeserei Loose GmbH, An den Breiten 01454 Leppersdorf, Deutschland",,"SAUERMILCHQUARK, Speisesalz, Säureregulatoren Calciumcarbonat, Natriumhydrogenarbonat; Milchsäurekulturen (enthalten MILCH), Reifungskulturen (enthalten MILCH), Schimmelkulturen (enthalten MILCH). ",115 Gramm,täglich,,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,Deutschland,,,,,,,,,,,,,,,,,,,,,
553,Ehrmann High Protein Chocolate & Topping,"1,49€","High Protein Pudding mit extra Protein-Topping. Mit 20 Gramm Protein, ohne Zuckerzusatz, laktose- und glutenfrei sowie fettarm.

laktosefrei Laktose < 0,1g/100g

Fettarm , Ehrmann GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50594-ehrmann-ehrmann-high-protein-chocolate-topping/,https://bilder.kolonial.no/local_products/726ac1ed-d2d6-43e7-b8b3-bb2d50fe4e90.jpg?auto=format&fit=max&w=940&s=8ae7a69f1137d55d4dae6d74be1561c5,0.12 g,10 g,4 g,5 g,1.60 g,2.40 g,344 kJ / 82 kcal,"Ehrmann GmbH, A.-Ehrmann-Straße 2, 87770 Oberschönegg, Deutschland",,"entrahmte MILCH, MILCHEIWEISS 8,5%, SAHNE 5%, Kakaopulver 1,5%, modifizierte Stärke, Verdi-ckungsmittel (Carrageen, E 466), Speisegelatine (Rind), fettarmes Kakaopulver 0,2%, Emulgator (E 472b), Laktase, natürliches Aroma, Süßungsmittel (E 950, Sucralose).
Enthält von Natur aus Zucker.
Topping mit Stickstoff aufgeschlagen. ",200 Gramm,täglich,4 Tage,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,Deutschland,,,,,,,,,,,,,,,,,,,,,
554,Kids World Schoko-Vanille Dessert mit Überraschung,"0,95€","Kid ́s World Schoko-Vanille Dessert-Eier mit Überraschungsfigur. Nicht geeignet für Kinder bis 3 Jahre. Variante ist nicht auswählbar. , Baackes & Heimes GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42667-kids-world-kids-world-schoko-vanille-dessert-mit-u/,https://bilder.kolonial.no/local_products/27be7e3d-0f2a-4129-8aea-fadbee370572.jpg?auto=format&fit=max&w=726&s=68851f04f13dd0e1120c5b1521d093ae,0.20 g,3.10 g,14.40 g,14.40 g,5.60 g,5.60 g,570 kJ / 136 kcal,"Baackes & Heimes GmbH, Frischpack GmbH, Mailling 11, 83104 Mailling b. Schönau, Deutschland",,"Entrahmte MILCH, SCHLAGSAHNE, 18% Zucker, modifizierte Maisstärke, fettarmes Kakaopulver 1,1%, Glukosesirup, MAGERMILCHPULVER, Verdickungsmittel: Carrageen, Pektin; Aroma, Farbstoff: Beta-Carotin. ",70 Gramm,täglich,,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,,,,,,,,,,,,,,,,,,,,,,
555,Kinder Pingui Tropical Cocos,"1,59€","KINDER PINGUI tropical Cocos 4er , Ferrero hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44690-kinderpingui-kinder-pingui-tropical-cocos/,https://bilder.kolonial.no/local_products/722c64fe-e112-4edc-99fa-28ec9ba79046.jpg?auto=format&fit=max&w=640&s=c9fa83da4d2409036af9a674ec069ed8,0.15 g,5.60 g,33.20 g,40.40 g,21.80 g,31.10 g,1954 kJ / 469 kcal,"Ferrero, Hainer Weg 120, DE-60624, Frankfurt am Main, Deutschland",,"frische VOLLMILCH (22 %), Halbbitterschokolade 19,5 % (Zucker, Kakaomasse, Kakaobutter, Emulgator Lecithine (SOJA), Vanillin), Zucker, Palmöl, WEIZENMEHL (8,5 %), MAGERMILCHPULVER (7 %), Kokosraspel (6 %), Kokosmus (4,5 %), BUTTERREINFETT, Traubenzucker, EIPULVER, fettarmer Kakao, Backhefe, Aromen, Emulgator Mono- und Diglyceride von Speisefettsäuren, Salz, GERSTENMALZEXTRAKTPULVER. ",120 Gramm,täglich,,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,,,,,,,,,,,,,,,,,,,,,,
556,Arla Skyr Vanille,"2,39€","Island. Ein Land heiß dampfender Geysire und atemberaubender Landschaften, geprägt von den Kräften der Natur. Dort hat Skyr seinen Ursprung. Traditionell hilft Skyr den Bewohnern Islands, trotz anspruchsvoller Verhältnisse ihrer Leidenschaft nachzugehen. Arla®Skyr vereint die besten Zutaten zu einem cremig-frischen Geschmackserlebnis. Nach isländischer Tradition hergestellt, ist Arla®Skyr natürlich reich an Protein mit nur 0,2% Fett und somit dein Stück Island für die Herausforderungen deines Alltags. , Arla Foods Inc. hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45137-arla-arla-skyr-vanille/,https://bilder.kolonial.no/local_products/e7a768f0-100c-4020-b8c9-0916f4b0fb0c.jpg?auto=format&fit=max&w=697&s=db423a0f24cfe72ff4a38de5aad26c68,0.13 g,9.10 g,7.60 g,7.60 g,0.20 g,0.20 g,316 kJ / 76 kcal,"Arla Foods Inc., Wahlerstraße 2, 40472 Düsseldorf, Deutschland",,"FRISCHKÄSE, Wasser, Zucker, Stärke, Zitronensaftkonzentrat, natürliches Vanillearoma, Vanilleschoten, natürliches Aroma. ",450 Gramm,täglich,4 Tage,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,Deutschland,,,,,,,,,,,,,,,,,,,,,
557,Alpro Soja mehr Frucht Mango,"1,99€","Alpro Fermentiertes Sojaprodukt, Mango, mehr Frucht, Ohne Zuckerzusatz, 400g, cup

Von Natur aus fettarm. - Calciumquelle - Reich an pflanzlichem Protein - Ohne Süßstoffe, ohne Zuckerzusatz, enthält von Natur aus Zucker. , Danone Belux nv hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/39887-alpro-alpro-soja-mehr-frucht-mango/,https://bilder.kolonial.no/local_products/b7e0587d-d5f6-433b-8ef4-3c7bd39a0591.jpg?auto=format&fit=max&w=751&s=87034bba8bdd1b7bf48b255fcd6dceff,0.22 g,3.70 g,5.60 g,5.80 g,0.40 g,2 g,257 kJ / 61 kcal,"Danone Belux nv, Stationsstraat 170/N229, 3110 Rotselaar, Belgien",,"SOJABASIS (Wasser, geschälte SOJABOHNEN (9,7%)), Mango (17,7%) (aus Fruchtsaftkonzentrat (11%), Frucht (6,7%)), Tricalciumcitrat, Stabilisator (Pektine), Säureregulatoren (Natriumcitrate, Citronensäure), natürliches Aroma, modifizierte Stärke, Meersalz, Antioxidationsmittel (stark tocopherolhaltige Extrakte, Fettsäureester der Ascorbinsäure), Kürbisextrakt, Karottenextrakt, Vitamine (B2, B12, D2), Joghurtkulturen (Str. thermophilus, L. bulgaricus). Kann Spuren von Schalenfrüchten (keine Erdnüsse) enthalten. Gluten- und von Natur aus laktosefrei. ",400 Gramm,täglich,5 Tage,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,Belgien,1 g,,Nüssen.,,,,,,,,,,,,,,,,,,
558,Nestlé Smarties & Vanillejoghurt,"0,99€","Viele, viele bunte Smarties®! Der cremige Smarties®-Joghurt ist ein leckerer Nestlé-Snack für Klein und Groß: eine köstliche Kombination aus feinem Joghurt und bunten Smarties®. Einzeln löffeln oder zusammen genießen: Einfach den Extrabecher umknicken und die Schokoladen-Dragees in den Joghurt kullern lassen. Sie haben die Wahl zwischen feinem Joghurt, köstlichem Vanillejoghurt oder fruchtigem Erdbeerjoghurt. Mit den bunten Smarties® kann man auch lustige Gesichter legen oder untereinander die Farben tauschen - der Kreativität sind keine Grenzen gesetzt. Ob als Snack für zwischendurch oder als Dessert, Smarties®-Joghurt von Nestlé macht einfach Spaß! , Lactalis Nestlé Frischprodukte Schweiz AG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42572-nestle-nestle-smarties-vanillejoghurt/,https://bilder.kolonial.no/local_products/435ddefa-12c1-4b3c-9394-30ecd8958775.jpg?auto=format&fit=max&w=1000&s=788c41d06531323094700aa010d7ff62,0.16 g,4.50 g,14.80 g,14.80 g,4.70 g,4.70 g,534 kJ / 128 kcal,"Lactalis Nestlé Frischprodukte Schweiz AG, Grafenaustrasse 7, 6300 Zug, Schweiz",,"JOGHURT, Zucker, Wasser, MAGERMILCHPULVER, Kakaomasse, Kakaobutter, natürliches Vanillearoma, WEIZENMEHL, MOLKENERZEUGNIS, BUTTERREINFETT, Reisstärke, modifizierte Stärke, GERSTENMALZEXTRAKT, Pflanzenkonzentrate (Färberdistel, Rettich), Farbstoffe (Betenrot, Carotin, Kurkumin), Emulgator (Lecithine), Spirulinakonzentrat, Überzugsmittel (Bienenwachs weiß, Carnaubawachs), Verdickungsmittel (Pektine), Säureregulatoren (Citronensäure, Natriumcitrate, Calciumcitrate), natürliche Aromen. Kann Spuren von ERDNÜSSEN, NÜSSEN, EIERN, SOJA und SESAMSAMEN enthalten. ",120 Gramm,täglich,5 Tage,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,,,,,,,,,,,,,,,,,,,,,,
559,Müller Grießpudding Traditionell,"0,79€","Wer kann, der kann! Und der Grießpudding Traditionell im Einkammerbecher kann hervorragend ohne weitere Toppings auskommen und dabei einfach nur lecker sein. Erlebe puren Dessert-Genuss vom Feinsten. , Molkerei Alois Müller GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44262-muller-muller-griesspudding-traditionell/,https://bilder.kolonial.no/local_products/b4130ff5-1a96-41bd-a0fa-46d5bb5eb565.jpg?auto=format&fit=max&w=1000&s=b118fe6f350b490657d7d79418bcd725,0.19 g,3.30 g,9.40 g,9.40 g,8.40 g,8.40 g,584 kJ / 140 kcal,"Molkerei Alois Müller GmbH & Co. KG, Zollerstraße 7, 86850 Fischach-Aretsried, Deutschland",,"VOLLMILCH, SAHNE, Wasser, 5,1 % HARTWEIZENGRIESS, Zucker, VOLLEI, Speisesalz, Aroma. KANN SPUREN VON ANDEREM GLUTENHALTIGEN GETREIDE, SOJA, SENF UND LUPINEN ENTHALTEN. ",200 Gramm,täglich,5 Tage,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,Deutschland,,,"Gluten, Sojabohnen, Senf, Lupine.",,,,,,,,,,,,,,,,,,
560,Kinder Maxi King,"1,65€","KINDER MAXI KING 3er , Ferrero hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47029-kinder-kinder-maxi-king/,https://bilder.kolonial.no/local_products/3b88a935-daad-4288-be8e-c17eb453ec4f.jpg?auto=format&fit=max&w=540&s=e9f8ca73228c704fcb2df41022801fb2,0.19 g,6.70 g,35.60 g,38.20 g,19 g,37.50 g,2165 kJ / 521 kcal,"Ferrero, Hainer Weg 120, DE-60624, Frankfurt am Main, Deutschland",,"MILCHSCHOKOLADE 28,5 % (Kakaobutter, Zucker, VOLLMILCHPULVER, Kakaomasse, Emulgator Lecithine (SOJA), Vanillin), frische VOLLMILCH (14,5 %), Zucker, MILCHKARAMELL 11 %(gezuckerte KONDENSMILCH, Zucker, HASELNÜSSE, Palmöl, Aroma), HASELNÜSSE (10,5 %), Palmöl, MAGERMILCHPULVER (5,5%), WEIZENMEHL, BUTTERREINFETT, Reismehl, Tapiokastärke, Emulgatoren: Mono- und Diglyceride von Speisefettsäuren, Lecithine (SOJA); Salz, Vanillin, Verdickungsmittel Tarakernmehl, Backtriebmittel Natriumhydrogencarbonat. ",105 Gramm,täglich,,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,,,,,,,,,,,,,,,,,,,,,,
561,Nestlé Smarties & Joghurt,"0,99€","Gesüßter aromatisierter Joghurt* und Schokolinsen mit Zuckerüberzug. , Lactalis Nestlé Frischprodukte Schweiz AG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45147-nestle-nestle-smarties-joghurt/,https://bilder.kolonial.no/local_products/a6a41dfb-e126-4535-b265-ae0a03abb009.jpg?auto=format&fit=max&w=1000&s=d4d14e6da5b8d2e8807e17e5dd60acec,0.10 g,4.60 g,16.60 g,16.60 g,5.30 g,5.30 g,576 kJ / 138 kcal,"Lactalis Nestlé Frischprodukte Schweiz AG, Grafenaustrasse 7, 6300 Zug, Schweiz",,"JOGHURT, Zucker, Kakaobutter, Kakaomasse, MAGERMILCHPULVER, MOLKENERZEUGNIS, BUTTERREINFETT, WEIZENMEHL, Reisstärke, Emulgator (Lecithine), Frucht- und Pflanzenkonzentrate (Färberdistel, Rettich, schwarze Karotte, Zitrone, Hibiskus), Spirulinakonzentrat, Überzugsmittel (Bienenwachs weiß, Carnaubawachs), natürliches Vanillearoma, natürliche Aromen enthalten. Kann Spuren von ERDNÜSSEN, EIER, SOJABOHNEN, SESAMSAMEN und SCHALENFRÜCHTEN enthalten. ",120 Gramm,täglich,5 Tage,"Käse, Eier & Milchprodukte","Joghurt, Desserts & Alternativen",oda,,,,,,,,,,,,,,,,,,,,,,,
